0,30,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,A;A;E;C;F;F;C;C;C;D;B;D;D;B;A;B;F;F;A;E;B;D;E;B;D;B;B;A;B;D;F;D;F;F;A;A;E;A;F;C;C;C;C;D;F;C;D;E;E;A;E;B;E;E,0
1,31,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,C;B;E;B;A;B;A;F;F;E;D;D;F;E;A;F;C;B;C;F;B;B;B;D;C;C;F;A;E;A;A;C;A;D;D;D;B;C;D;E;D;C;C;E;B;E;A;F;F;F;D;A;E;E,6
2,32,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,F;B;B;E;E;D;B;E;E;F;A;D;C;D;A;B;E;A;F;C;A;C;F;F;D;A;B;E;C;D;E;B;D;C;F;A;C;B;E;A;A;F;E;F;C;A;D;C;D;C;B;D;B;F,0
3,33,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,C;A;F;D;F;A;B;F;D;F;B;A;C;B;B;F;A;A;C;D;C;E;E;D;E;E;A;B;C;A;F;D;B;B;D;D;B;C;E;C;C;F;E;A;D;C;B;D;E;A;F;F;E;E,6
4,34,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,B;C;F;F;D;D;C;A;B;A;B;A;E;A;F;E;B;C;E;C;D;D;C;A;B;D;A;C;F;E;C;F;B;E;D;F;F;B;D;E;E;A;B;F;D;F;C;A;E;B;E;C;A;D,0
5,35,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,D;C;C;E;D;E;B;B;B;E;C;C;F;C;F;C;F;A;A;A;D;E;F;D;E;C;F;A;D;F;A;E;A;E;D;F;E;D;A;B;A;C;C;E;B;F;B;D;B;B;A;D;F;B,0
6,36,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,B;C;D;A;D;A;A;E;A;B;B;B;F;A;E;D;C;B;C;D;C;F;C;C;F;A;E;F;F;F;B;F;D;D;F;D;C;B;E;E;E;B;E;A;A;C;D;E;C;B;E;F;D;A,0
7,37,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,B;D;D;A;F;D;D;C;A;E;D;C;A;B;B;D;B;F;D;F;E;E;E;C;E;F;C;A;E;A;F;D;A;B;F;B;E;B;F;E;C;D;C;A;C;F;C;B;C;A;E;F;B;A,0
8,38,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,F;C;B;F;A;D;A;D;F;D;E;B;F;E;D;D;D;B;E;A;A;F;B;C;C;B;B;E;B;D;A;C;F;A;A;E;C;B;C;C;D;E;F;B;E;A;C;F;E;F;A;D;E;C,6
9,39,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,D;D;A;E;D;F;D;A;F;C;D;B;A;F;A;C;B;A;E;C;B;B;E;E;E;B;D;C;F;C;D;A;C;E;E;E;F;F;A;A;C;E;A;C;B;F;F;D;D;B;C;B;B;F,0
