0,284,wreath_6/6,C;A;C;A;A;A;B;B;B;B,A;A;A;A;B;C;B;C;B;B,0
1,285,wreath_6/6,C;A;C;A;A;A;B;B;B;B,B;A;B;A;B;A;C;A;B;C,2
2,286,wreath_6/6,C;A;C;A;A;A;B;B;B;B,A;B;C;A;A;C;B;B;B;A,2
3,287,wreath_6/6,C;A;C;A;A;A;B;B;B;B,B;C;B;C;A;A;B;A;B;A,2
4,288,wreath_6/6,C;A;C;A;A;A;B;B;B;B,A;A;C;B;C;A;B;B;A;B,0
5,289,wreath_6/6,C;A;C;A;A;A;B;B;B;B,A;B;A;C;A;B;B;B;A;C,0
6,290,wreath_6/6,C;A;C;A;A;A;B;B;B;B,A;B;B;A;B;A;B;A;C;C,0
7,291,wreath_6/6,C;A;C;A;A;A;B;B;B;B,A;B;C;B;A;C;A;A;B;B,2
8,292,wreath_6/6,C;A;C;A;A;A;B;B;B;B,C;B;B;A;B;B;A;A;A;C,0
9,293,wreath_6/6,C;A;C;A;A;A;B;B;B;B,A;B;B;C;A;B;B;C;A;A,0
10,294,wreath_6/6,C;A;C;A;A;A;B;B;B;B,A;C;A;B;B;A;B;C;B;A,0
11,295,wreath_6/6,C;A;C;A;A;A;B;B;B;B,A;A;C;A;B;B;B;B;C;A,0
12,296,wreath_6/6,C;A;C;A;A;A;B;B;B;B,C;A;B;C;B;A;B;B;A;A,0
13,297,wreath_6/6,C;A;C;A;A;A;B;B;B;B,B;A;C;A;B;A;A;C;B;B,0
14,298,wreath_6/6,C;A;C;A;A;A;B;B;B;B,A;C;B;A;A;B;B;B;C;A,2
15,299,wreath_6/6,C;A;C;A;A;A;B;B;B;B,A;B;C;A;C;A;B;A;B;B,0
16,300,wreath_6/6,C;A;C;A;A;A;B;B;B;B,A;B;B;B;A;C;A;A;B;C,0
17,301,wreath_6/6,C;A;C;A;A;A;B;B;B;B,B;B;B;B;A;C;A;C;A;A,0
18,302,wreath_6/6,C;A;C;A;A;A;B;B;B;B,C;A;B;A;A;B;B;C;B;A,0
19,303,wreath_6/6,C;A;C;A;A;A;B;B;B;B,B;A;A;B;A;C;B;A;C;B,0
