0,319,wreath_12/12,C;A;A;C;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B,A;B;A;B;B;B;B;A;A;B;B;A;B;B;A;B;C;C;A;A;A;A,2
1,320,wreath_12/12,C;A;A;C;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B,A;A;C;B;B;C;A;B;A;B;A;A;B;B;A;B;A;B;B;B;A;A,0
2,321,wreath_12/12,C;A;A;C;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B,B;B;C;B;A;A;A;B;B;B;A;B;A;A;C;A;B;B;B;A;A;A,2
3,322,wreath_12/12,C;A;A;C;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B,A;C;A;B;B;A;A;B;B;B;C;A;B;A;B;A;B;B;A;A;B;A,0
4,323,wreath_12/12,C;A;A;C;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B,B;B;A;B;A;A;B;B;C;B;A;A;B;B;A;B;A;A;A;A;B;C,0
5,324,wreath_12/12,C;A;A;C;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B,A;A;B;A;A;B;B;A;C;B;A;A;B;B;C;A;B;A;B;B;A;B,0
6,325,wreath_12/12,C;A;A;C;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B,B;A;B;A;A;A;B;A;B;B;B;A;A;B;A;B;C;C;A;B;A;B,0
7,326,wreath_12/12,C;A;A;C;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B,B;A;B;A;A;B;B;C;A;A;B;A;A;A;B;B;B;A;C;B;A;B,0
8,327,wreath_12/12,C;A;A;C;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B,B;A;C;A;A;A;A;C;A;A;B;B;B;B;A;B;B;A;B;A;B;B,0
9,328,wreath_12/12,C;A;A;C;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B,B;A;C;A;B;A;A;B;A;B;B;A;B;B;B;A;B;A;A;A;C;B,2
