0,338,globe_1/8,A;A;C;C;E;E;G;G;I;I;K;K;M;M;O;O;B;B;D;D;F;F;H;H;J;J;L;L;N;N;P;P,I;P;O;A;A;D;F;L;J;M;G;M;P;F;E;J;E;B;O;G;H;D;N;L;N;I;B;K;C;C;K;H,0
1,339,globe_1/8,A;A;C;C;E;E;G;G;I;I;K;K;M;M;O;O;B;B;D;D;F;F;H;H;J;J;L;L;N;N;P;P,K;I;C;B;M;J;D;G;E;H;N;E;F;I;D;K;L;P;A;O;B;N;J;F;H;C;G;M;O;P;L;A,0
2,340,globe_1/8,A;A;C;C;E;E;G;G;I;I;K;K;M;M;O;O;B;B;D;D;F;F;H;H;J;J;L;L;N;N;P;P,M;O;L;M;P;F;L;B;I;G;E;J;A;G;O;I;C;H;D;P;B;A;N;J;N;K;E;H;K;D;C;F,0
3,341,globe_1/8,A;A;C;C;E;E;G;G;I;I;K;K;M;M;O;O;B;B;D;D;F;F;H;H;J;J;L;L;N;N;P;P,P;O;G;J;A;L;F;C;D;B;P;N;F;M;I;G;O;M;H;H;E;N;K;C;B;I;D;J;L;E;A;K,0
4,342,globe_1/8,A;A;C;C;E;E;G;G;I;I;K;K;M;M;O;O;B;B;D;D;F;F;H;H;J;J;L;L;N;N;P;P,F;H;O;M;C;J;K;I;J;L;B;N;B;G;K;H;D;P;A;D;E;N;P;G;F;O;L;C;I;E;M;A,2
5,343,globe_1/8,N0;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16;N17;N18;N19;N20;N21;N22;N23;N24;N25;N26;N27;N28;N29;N30;N31,N21;N1;N9;N20;N30;N8;N25;N26;N11;N2;N16;N27;N4;N28;N6;N13;N17;N31;N12;N18;N19;N0;N29;N10;N22;N14;N24;N7;N3;N5;N15;N23,0
6,344,globe_1/8,N0;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16;N17;N18;N19;N20;N21;N22;N23;N24;N25;N26;N27;N28;N29;N30;N31,N30;N0;N22;N15;N24;N19;N14;N18;N31;N6;N23;N16;N9;N1;N29;N13;N21;N12;N8;N26;N4;N28;N3;N25;N7;N20;N2;N10;N11;N27;N5;N17,0
7,345,globe_1/8,N0;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16;N17;N18;N19;N20;N21;N22;N23;N24;N25;N26;N27;N28;N29;N30;N31,N19;N11;N22;N29;N15;N7;N14;N16;N0;N18;N9;N24;N3;N30;N27;N8;N20;N10;N1;N4;N26;N25;N5;N23;N12;N6;N13;N31;N17;N21;N28;N2,0
8,346,globe_1/8,N0;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16;N17;N18;N19;N20;N21;N22;N23;N24;N25;N26;N27;N28;N29;N30;N31,N9;N7;N17;N11;N30;N14;N5;N0;N16;N31;N6;N4;N1;N8;N12;N13;N15;N22;N26;N27;N3;N21;N19;N25;N29;N23;N20;N28;N2;N18;N24;N10,0
9,347,globe_1/8,N0;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16;N17;N18;N19;N20;N21;N22;N23;N24;N25;N26;N27;N28;N29;N30;N31,N26;N10;N17;N24;N11;N3;N14;N16;N23;N2;N21;N1;N25;N22;N27;N9;N7;N6;N8;N5;N19;N0;N31;N12;N30;N18;N15;N28;N13;N20;N4;N29,0
