id,moves
0,"['r1', '-f1']"
1,"['f1', 'd0', '-r0', '-f1', '-d0', '-f1', 'd0', '-r0', 'f0', '-f1', '-r0', 'f1', '-d1', '-r1', 'f1', 'd1', 'r0', 'f1', 'd1', 'd0', '-r0', '-d0', '-d0', 'f1', 'd1', 'd0', '-r0', '-d0', '-r0', '-d0', '-d0', 'r0', '-d0', '-f1', 'd0', '-r0', '-r1', 'f1', '-f0', 'f1', '-d1', 'd0', '-r0', '-d0', '-d0', 'f1', '-d1', 'r0', '-d0', '-d1', '-f1', '-r1', 'f1', 'd1', '-d0', '-f1', '-d0', '-d1', 'r0', '-d0', '-d1', '-f1', '-f0']"
2,"['f1', 'd0', '-d1', 'r0', '-d1', '-f0', 'f1', '-r0', '-f0', '-r1', '-f0', 'r0', '-d0', '-r0', '-f0', '-r1', '-f0', '-f1', '-r0', '-r1', '-f1', '-r0', '-f0', '-r1', '-r1', '-f1', '-r1', '-f1', '-f0', '-r1', '-r1', '-f1', '-r1', '-f1', '-d0', '-f1', '-d1', '-f0', '-d1', 'r0', 'f1', 'r0', '-d0', 'f1', 'r1', 'f1', '-r0', '-f0', '-r1', '-f0', 'r1', 'f0', 'r0', 'f1', '-d1', 'r0', 'f1', 'r0', '-d0', 'f1', 'r1', '-f1']"
3,"['-f0', '-r0', '-f0', '-d0', '-f0', 'f1', 'r0', '-d1', '-r0', '-r1', '-r0', '-f1', '-d0', '-f0', 'f1', 'r0', '-d1', '-r0', '-r1', 'd0', '-f1', '-r1', '-f0', '-f0', 'f1', 'r0', '-d1', 'r0', '-f1', 'r0', '-d0', '-f0', '-d0', '-f0', 'f1', 'r0', '-d1', '-r0', '-r1', '-r0', '-r1', '-f0', 'f1', 'r0', '-d1', '-r0', '-f1', 'f0', '-f1', '-r1', '-f0', '-r1', 'r0', '-f1', '-f1', '-d0', '-d1', '-f0', 'f1', 'r0', '-d1', '-r0', '-f0', '-d0', '-f0', 'f1', 'r0', '-d1', '-r0', '-r1', '-f0', '-d0', '-f0', 'f1', 'r0', '-d1', '-r0', '-r1', 'd0', '-r0', '-f1', '-d0', '-f0', 'f1', 'r0', '-d1', '-r0', '-r1', '-f0', 'f1', 'r0', '-d1']"
4,"['d1', '-f1', 'd1', 'r1', '-f0', 'd1', '-d0', '-r1', 'd1', 'd1', '-f1', 'd1', '-d0', '-r0', '-d0', 'd1', '-r1', 'd1', 'd1', '-f1', 'd1', '-d0', '-r0', '-d0', 'r1', '-f0', 'f1', 'd1', 'r1', '-r0', 'd0', '-d1', '-r0', '-d0', '-r0', 'd1', '-f1', '-r0', '-d0', '-r1', '-d1', '-f1', '-d1', '-f1', '-r1', '-d0', '-r1', 'd1', '-r0', '-d1', '-r0', '-d0', 'd1', '-r0', '-d1', '-f0', 'd1', '-f1', 'd1', '-d0', '-r1', 'd1', 'd1', '-f1', 'd1', '-d0', 'd1', '-f1', 'd1', 'r1']"
5,"['f0', 'r0', 'd0', 'f0', 'd0', '-f1', 'r1', '-r0', 'f0', 'r0', 'd0', 'f0', '-r1', 'd0', 'f0', 'd0', '-f1', 'r1', '-r0', '-r1', 'd0', 'f0', '-r1', 'f1', '-d0', '-f0', 'r0', 'r1', '-d0', '-f0', '-r1', '-r0', 'f0', '-f1', 'r1', '-f0', '-d1', 'f0', '-d1', '-d0', '-f0', '-f0', '-f1', 'r1', '-f0', '-d0', '-r0', '-f0', '-r1', 'f1', '-d0', '-f0', '-d0', 'r1']"
6,"['f1', '-r1', '-d1', 'f1', 'r0', 'd0', 'f1', '-r1', '-f1', 'f0', 'r0', 'd0', 'f1', '-r1', '-f1', 'f0', 'f1', '-r1', '-d1', 'f1', 'r1', '-f1', '-d0', '-r0', 'r1', '-d1', 'f1', '-r1', '-d0', '-r0', '-r1', '-f1', 'f0', '-r0', '-f1', '-d1', 'f1', '-d0', 'f1', 'r1', '-d1', 'f1', 'r0', '-d0', 'r1', '-f1', '-d0', '-r0', '-d0', 'f1', 'f0', '-f1', '-d0', '-r0', '-r0', '-f1', '-r0', '-f1', 'r1', '-d1', 'f1', 'r0', 'f1', '-r1', 'f1', '-r1', '-d1', 'f1']"
7,"['f1', '-f0', '-d1', '-r0', '-f0', '-d1', '-r0', '-d1', '-d1', '-f1', 'd1', 'd1', '-d0', '-d0', '-f0', '-d1', '-r0', '-f0', '-d1', '-r0', '-r0', 'd1', 'd1', '-d0', '-f1', '-d0', 'f1', '-r1', '-r1', '-r1', '-d1', '-d1', '-f0', '-d1', '-f0', 'f1', '-r1', '-r0', '-f0', '-d1', 'f1', '-r1', 'f1', '-f0', '-d1', '-r0', '-f0', '-d1', '-f0', '-d1', '-r0', '-f0', '-d1', '-r0', '-f0', '-d1', '-r0', '-f0', '-d1', '-r0', 'r1', '-f1', 'f0', '-r1', '-r1', 'd1', '-f1', 'd0', '-d1', '-d1', 'd0', '-d1', '-d1', 'f1', '-f0', '-d1', '-r0', '-f0', '-d1', '-r0', 'r1', '-f1', 'f0']"
8,"['-d0', '-r0', 'f1', 'd1', '-f0', '-d0', '-r0', 'f1', 'd0', '-f1', '-f0', '-r1', '-f1', 'd1', 'd1', '-f0', '-r1', '-f1', 'd1', 'd1', '-f0', 'f1', '-d0', 'd1', '-r1', 'f0', 'f1', '-d0', '-f1', 'r0', 'd0', 'f0', '-d1', '-d1', 'f1', '-d0', 'd1', '-f0', '-d0', '-r0', 'f1', 'd0', '-f1', '-f0', 'd0', '-f1', 'f0', '-d1', '-d1', '-d0', '-r0', '-d1', '-d1', '-r0', '-d0', '-d0', '-r0', 'f1', '-r1', '-f1', '-r1', '-f1', 'd1', 'd1', '-f0', '-d1', 'd0', '-f1', '-d0', '-r0', 'f1', 'd0', '-f1', '-d1', 'd0', '-f1', 'f0', '-d1', '-d1', 'f1', 'r1', 'd0', '-f1', '-d1', 'd0', '-f1', 'f0', '-d1', '-d1', 'f1', 'r1', '-r0', '-d0', '-d0', '-r0', 'f1', 'd0', '-f1']"
9,"['f0', 'd0', '-f0', '-d1', '-r0', 'd0', '-f0', '-d1', '-d0', 'r0', 'f1', 'd0', '-f0', 'd0', '-r0', 'd0', '-f0', '-r1', 'd1', 'd1', '-r0', 'd0', '-f0', '-r1', 'd1', 'd1', 'd0', '-f0', '-r1', 'd1', 'd1', '-f0', '-d1', '-f0', '-r1', '-d0', '-f1', '-d1', '-d1', '-f0', '-r1', 'd1', 'd1', '-r0', 'd0', '-f0', '-d1', '-d0', 'r0', '-d0', 'r1', '-d0', '-f1', '-r1', '-d0', 'r1', 'f1', '-r1', '-f1', 'd0', '-r0', 'd0', '-f0', '-r1', 'd1', 'd1', '-r0', 'd0', '-f0', '-r1', 'd1', 'd1', '-d0', '-d0', '-f1', '-r1']"
10,"['f0', '-d1', '-f0', 'd0', 'f1', '-r1', '-d0', 'r0', '-d0', 'f1', '-r1', '-r0', 'f1', '-r1', '-r0', 'f1', '-r1', '-r0', 'f1', '-f0', '-d1', '-d1', 'f1', '-r1', 'd1', '-f0', '-d1', '-d1', '-r0', 'f1', '-r0', 'f1', '-d1', 'r1', '-f0', 'd0', '-r1', '-r1', 'd0', '-r1', 'd0', '-r0', 'f1', '-d1', 'r1', 'f1', '-r1', '-d0', '-d0', '-r0', 'f1', '-r1', '-f0', 'd0', 'f1', '-r1', '-d0', '-f0', 'd0', 'f1', '-r1', '-d0', 'r1', '-f1', 'r0', '-d0']"
11,"['d1', '-r0', '-d1', '-f1', 'd0', 'r0', 'r0', 'd1', '-f0', '-f1', 'd1', '-f0', '-f1', 'd0', '-f0', '-r1', '-d1', 'd0', '-r0', '-f0', '-r1', '-d1', 'd0', 'f0', '-f1', '-d1', 'f0', '-d0', '-r0', '-r0', '-r1', '-f1', '-f1', '-d1', '-f1', 'd0', '-d1', 'd0', '-r0', '-f0', 'r0', 'r0', '-r1', '-r0', '-r0', 'f0', '-d0', '-d1', 'r0', 'r0', 'd1', '-f0', '-f1', '-r0', '-r0', 'd0', '-f0', '-r1', '-d1', 'd0', 'f0', '-f1', '-d1']"
12,"['-d0', '-f1', 'd0', '-r1', 'f1', 'f1', 'f0', 'd1', 'r0', 'd0', '-r1', 'd1', '-r1', '-f1', 'd0', 'r1', '-d0', '-r0', '-d1', '-f0', '-f1', 'd1', '-r1', '-f1', 'd0', 'r1', '-d0', '-r0', '-d1', '-f0', '-f0', '-f0', 'r1', '-d1', '-f1', '-r0', '-r1', 'f1', '-f0', 'r1', 'd1', 'r0', 'd0', '-r1', '-r1', '-f1', '-f1', 'd0', '-f0', 'r1', '-d1', '-d0', '-r0', '-f1', 'd0', '-f0', 'r1', '-d0', '-f1', 'r1', '-d0', '-r0', '-d1', '-r1', 'f1', '-r1', 'f1', '-f0', 'r1', '-d0', 'f1', 'r1']"
13,"['f1', '-d1', '-r1', 'f0', 'f1', '-d1', '-d1', '-d1', '-r1', '-r0', 'f1', '-d1', '-r1', 'f0', 'f1', '-d1', '-d1', '-d1', '-r1', '-r0', '-f0', 'r0', 'r1', 'd1', 'd1', 'd1', '-f1', '-f0', 'r1', 'd1', '-f1', 'r0', '-f0', 'r0', 'r1', 'd1', 'd1', '-f1', 'r0', '-f0', 'r0', 'r1', 'd1', 'd1', 'd0', 'd1', '-r1', '-d1', 'r0', 'r1', 'd1', 'd1', 'd1', '-f1', '-f0', 'r1', 'd1', '-f1', '-d1', '-d0', 'f1', '-d1', '-r1', 'f0', 'f1', '-d1', '-d1', '-d1', '-r1', '-r0', '-f0', 'r1', 'd1', 'd1', 'd1', '-f1', '-f0', 'r1', 'd1', '-f1', '-r0', '-f0', '-f0', 'r1', 'd1', '-f1', 'r1', 'd1', 'd1', '-r1', '-d1', '-f1', '-d1', '-r1', '-f0', 'r0', 'r1', 'd1', 'd1', 'd1', '-f1', '-r1', '-d1', '-d0', '-r0', '-f0', 'r0', 'r1', 'd1', 'd1', 'f1', '-d1', '-r1', 'f0', 'f1', '-d1', '-d1', '-d1', '-r1', '-r0', '-f0', 'r0', 'r1', 'd1', 'd1', 'd1', '-f1', '-f0', 'r1', 'd1', '-f1']"
14,"['d1', '-r1', 'd1', '-f0', 'd0', 'd0', 'r1', '-r0', '-r0', '-d1', '-r1', 'f1', 'd0', 'd1', '-r1', 'd1', '-f0', 'd0', 'd0', 'r1', '-r0', '-d0', '-d0', 'f0', '-d1', 'r1', '-d1', '-f0', 'd0', 'd0', '-d1', 'r1', 'r0', '-f0', '-r0', '-d1', '-d1', '-d0', '-f1', '-r0', '-d1', '-d0', '-d0', '-f1', 'd0', 'd0', 'd1', 'r0', '-f0', '-d1', '-r0', '-d1', '-r1', 'f1', 'd0', '-f1', '-f0', '-r0', '-r1', 'd1', '-f0', 'd0', 'd0', '-r1', '-d0', '-d0', 'f0', '-d1', 'r1', '-d1', '-f0', '-d1', '-f0', '-d1', '-d0', '-d0', 'f0', '-d0', '-d0', 'f0', '-d1', 'r1', '-d1', '-d0', '-f1', 'r1', 'd1', 'r0', 'r0', '-r1', '-d0', '-d0', 'f0', '-d1', 'r1', '-d1']"
15,"['-d1', '-r1', '-f0', '-f1', '-f1', '-d0', 'd1', '-r1', '-r1', 'f1', 'd0', '-r0', '-r1', '-r1', '-r0', '-r1', '-f1', '-f1', '-f0', '-f1', 'd0', '-d1', '-f0', '-f1', 'd0', '-r0', 'r1', '-f1', 'd0', '-r1', 'f1', 'd0', '-r0', '-f0', '-f1', 'd0', '-r1', '-d0', '-f1', '-d0', '-f1', '-d0', '-f1', 'd0', '-r1', '-d0', '-f1', '-r1', 'r0', 'f1', 'd0', '-r0', '-f0', '-f1', 'd0', '-r1', '-d0', '-f1', '-r1', 'r0', '-f0', '-r1', '-f0', '-f1', '-f1', '-d0', '-d1', '-r1']"
16,"['f0', 'f0', '-r1', '-d1', '-f0', 'f1', '-r1', '-r0', 'f0', 'd1', 'r1', '-f0', '-d1', '-f0', 'f1', '-r1', 'd1', '-r0', 'r1', 'd1', '-r0', 'f0', 'd1', '-d0', '-d1', '-r1', '-f0', '-d0', '-d1', 'f0', '-f1', '-d1', '-f0', 'r0', '-f1', '-d1', '-r1', '-d0', '-d1', 'r0', '-f1', '-f0', '-d0', '-d1', 'r0', '-f1', '-f0', '-d0', '-d1', 'r0', 'f0', 'd1', '-d0', 'f0', '-r1', 'f0', '-r1', '-d1', '-f0', '-f0', '-d0', '-d1', 'r1']"
17,"['-r1', '-r0', 'd0', 'd1', '-d0', '-f1', 'd0', 'f0', 'd0', 'f1', 'f0', 'd0', 'f1', 'd1', '-f0', '-d1', '-r0', 'r1', 'r1', 'd0', '-d1', '-d0', '-f1', '-d1', '-d1', '-f1', '-d0', '-f1', 'd0', 'd0', '-r0', 'r1', '-r0', 'r1', 'r1', 'd0', '-d1', '-d1', 'd0', '-d1', '-d1', 'f0', '-f1', '-f0', '-r0', '-f1', '-d0', '-f0', 'd0', '-d1', '-d0', '-f1', '-d0', '-f0', '-f1', '-d0', '-f0', '-d0', 'f1', 'd1', '-f0', 'r1']"
18,"['d0', '-r0', '-f0', '-d1', '-r1', 'f0', 'f1', 'r0', '-r1', 'f0', 'r0', '-d0', '-f1', 'd0', '-r0', '-f0', '-f0', 'd0', 'r1', 'f1', 'r0', '-f1', '-d0', '-f1', 'd0', '-r0', '-f0', '-f0', 'd0', 'r1', 'f1', 'd0', '-r0', '-f0', '-f0', 'd0', 'r1', '-f0', 'r0', '-f1', '-d0', '-f1', '-d0', '-d1', '-r1', 'd0', '-r0', '-f0', '-r0', '-f0', '-f0', 'd0', '-f1', '-r1', '-d1', '-d0', '-r1', 'f0', 'r0', '-d0', '-d1', '-r1', 'f0', 'f1', '-f0', 'd0', 'r1', 'd0', '-r0', '-f0', '-f0', 'd0', 'r1', 'f1', 'd0', 'r0', '-r1', '-f1', 'd0', '-r0', '-f0', '-f0', 'd0', 'r1', 'f1', 'r0', '-f1', '-d0', 'r0']"
